Subject,Start Date,Start Time,End Date,End Time,Description,Location
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 16/10/2018, 08:00, 16/10/2018, 18:50, prof. dr hab. Harasim Janina, n/z
wyk - Finanse międzynarodowe, 17/10/2018, 11:40, 17/10/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 17/10/2018, 13:30, 17/10/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 17/10/2018, 15:20, 17/10/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 18/10/2018, 09:50, 18/10/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 18/10/2018, 11:40, 18/10/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 18/10/2018, 13:30, 18/10/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 18/10/2018, 15:20, 18/10/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 18/10/2018, 17:10, 18/10/2018, 18:50, dr Emerling Izabela - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 18/10/2018, 17:10, 18/10/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 19/10/2018, 08:00, 19/10/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 19/10/2018, 09:50, 19/10/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 19/10/2018, 11:40, 19/10/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 19/10/2018, 15:20, 19/10/2018, 17:00, dr Emerling Izabela - RPS, 411 A
sem - Seminarium dyplomowe dr Anna Doś, 22/10/2018, 08:00, 22/10/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 23/10/2018, 08:00, 23/10/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 24/10/2018, 08:00, 24/10/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 24/10/2018, 09:50, 24/10/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 24/10/2018, 11:40, 24/10/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 24/10/2018, 13:30, 24/10/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 24/10/2018, 15:20, 24/10/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Bożena Ciupek, 24/10/2018, 15:20, 24/10/2018, 17:00, dr Ciupek Bożena - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 24/10/2018, 15:20, 24/10/2018, 18:50, dr Szewczyk Łukasz - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 25/10/2018, 09:50, 25/10/2018, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 25/10/2018, 13:30, 25/10/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 25/10/2018, 15:20, 25/10/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 25/10/2018, 17:10, 25/10/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 25/10/2018, 17:10, 25/10/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 26/10/2018, 08:00, 26/10/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 26/10/2018, 09:50, 26/10/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 26/10/2018, 11:40, 26/10/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 29/10/2018, 15:20, 29/10/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 30/10/2018, 08:00, 30/10/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 31/10/2018, 08:00, 31/10/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 31/10/2018, 09:50, 31/10/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 31/10/2018, 11:40, 31/10/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 31/10/2018, 13:30, 31/10/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 31/10/2018, 15:20, 31/10/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
sem - Seminarium dyplomowe dr Anna Doś, 05/11/2018, 08:00, 05/11/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 06/11/2018, 08:00, 06/11/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 07/11/2018, 08:00, 07/11/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 07/11/2018, 09:50, 07/11/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 07/11/2018, 11:40, 07/11/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 07/11/2018, 13:30, 07/11/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 07/11/2018, 15:20, 07/11/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Bożena Ciupek, 07/11/2018, 15:20, 07/11/2018, 17:00, dr Ciupek Bożena - SD, Katedra -
sem - Seminarium dyplomowe dr Łukasz Szewczyk, 07/11/2018, 15:20, 07/11/2018, 17:00, dr Szewczyk Łukasz - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 08/11/2018, 09:50, 08/11/2018, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 08/11/2018, 13:30, 08/11/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 08/11/2018, 15:20, 08/11/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 08/11/2018, 17:10, 08/11/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 08/11/2018, 17:10, 08/11/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 09/11/2018, 08:00, 09/11/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 09/11/2018, 09:50, 09/11/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 09/11/2018, 11:40, 09/11/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 12/11/2018, 15:20, 12/11/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 13/11/2018, 08:00, 13/11/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 14/11/2018, 08:00, 14/11/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 14/11/2018, 09:50, 14/11/2018, 11:30, prof. dr hab. Buk Halina - RPS, 233 F
wyk - Finanse międzynarodowe, 14/11/2018, 11:40, 14/11/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 14/11/2018, 13:30, 14/11/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 14/11/2018, 15:20, 14/11/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Prawo reklamy, 15/11/2018, 09:50, 15/11/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 15/11/2018, 11:40, 15/11/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 15/11/2018, 13:30, 15/11/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 15/11/2018, 15:20, 15/11/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 15/11/2018, 17:10, 15/11/2018, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 16/11/2018, 08:00, 16/11/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 16/11/2018, 09:50, 16/11/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
