Subject,Start Date,Start Time,End Date,End Time,Description,Location
sem - Seminarium dyplomowe dr Aleksandra Lubicz-Posochowska, 05/12/2018, 15:20, 05/12/2018, 17:00, dr Lubicz-Posochowska Aleksandra - SD, Katedra -
sem - Seminarium dyplomowe dr Danuta Kozłowska-Makóś, 06/12/2018, 09:50, 06/12/2018, 11:30, dr Kozłowska-Makóś Danuta - SD, 5 L
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 06/12/2018, 13:30, 06/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 06/12/2018, 15:20, 06/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Jolanta Gałuszka, 06/12/2018, 17:10, 06/12/2018, 18:50, dr Gałuszka Jolanta - SD, Katedra -
sem - Seminarium dyplomowe dr Magdalena Jarczok-Guzy, 06/12/2018, 17:10, 06/12/2018, 18:50, dr Jarczok-Guzy Magdalena - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 07/12/2018, 08:00, 07/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 07/12/2018, 09:50, 07/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 07/12/2018, 11:40, 07/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
wyk - Prawo instrumentów finansowych, 10/12/2018, 15:20, 10/12/2018, 17:00, prof. UE dr hab. Witosz Aleksander - PSW, 228 A
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 11/12/2018, 08:00, 11/12/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 12/12/2018, 08:00, 12/12/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 12/12/2018, 09:50, 12/12/2018, 11:30, prof. dr hab. Buk Halina - RPS, 233 F
wyk - Finanse międzynarodowe, 12/12/2018, 11:40, 12/12/2018, 13:20, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Dodatkowe ubezpieczenia emerytalne, 12/12/2018, 13:30, 12/12/2018, 15:10, prof. UE dr hab. Koczur Wiesław - PSW, 412 A
wyk - Podstawy audytu wewnętrznego, 12/12/2018, 15:20, 12/12/2018, 17:00, prof. UE dr hab. Pfaff Józef - PSW, 335 A
wyk - Sprawozdawczość finansowa, 12/12/2018, 17:10, 12/12/2018, 18:50, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Prawo reklamy, 13/12/2018, 09:50, 13/12/2018, 11:30, dr Lubicz-Posochowska Aleksandra - PSW, Aula B
wyk - Planowanie finansowe, 13/12/2018, 11:40, 13/12/2018, 13:20, dr Kozłowska-Makóś Danuta - PSW, 418 A
Ćwi - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 13/12/2018, 13:30, 13/12/2018, 15:10, mgr Sygut Edyta - RPS, 214 B
Ćwi - Sprawozdawczość finansowa, 13/12/2018, 15:20, 13/12/2018, 17:00, dr Emerling Izabela - RPS, 227 A
sem - Seminarium dyplomowe dr Izabela Emerling, 13/12/2018, 17:10, 13/12/2018, 18:50, dr Emerling Izabela - SD, Katedra -
wyk - Instrumenty opodatkowania pośredniego ludności i podmiotów gospodarczych, 14/12/2018, 08:00, 14/12/2018, 09:40, dr Jarczok-Guzy Magdalena - RPS, Aula A
wyk - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 14/12/2018, 09:50, 14/12/2018, 11:30, dr Ciupek Bożena - RPS, Aula A
Ćwi - Instrumenty opodatkowania bezpośredniego ludności i podmiotów gospodarczych, 14/12/2018, 11:40, 14/12/2018, 13:20, mgr Świętek Łukasz - RPS, 213 B
Ćwi - Analiza finansowa, 14/12/2018, 15:20, 14/12/2018, 17:00, dr Emerling Izabela - RPS, 411 A
sem - Seminarium dyplomowe dr Anna Doś, 17/12/2018, 08:00, 17/12/2018, 09:40, dr Doś Anna - SD, Katedra -
inne - Projekt: "Blisko-Międzynarodowo-Przez całe życie", 18/12/2018, 08:00, 18/12/2018, 18:50, prof. dr hab. Buk Halina, n/z
wyk - Sprawozdawczość finansowa, 19/12/2018, 08:00, 19/12/2018, 09:40, prof. dr hab. Buk Halina - RPS, Aula A
wyk - Analiza finansowa, 19/12/2018, 09:50, 19/12/2018, 11:30, prof. dr hab. Buk Halina - RPS, Aula @
wyk - Finanse międzynarodowe, 19/12/2018, 11:40, 19/12/2018, 13:, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Finanse międzynarodowe, 19/12/2018, 20, 19/12/2018, undefined, prof. dr hab. Harasim Janina - RPS, Aula A
wyk - Rachunkowość jednostek handlowych, 19/12/2018, 13:30, 19/12/2018, 15:10, dr Poniatowska Lucyna - PSW, 412 A
